"","admin_name","ipum1991","upaz1991","parent","area91","A","admin_name.1","ipum2001","upaz2001","parent.1","area01","B","A_intersect_B","A_intersect_B_perimeter","A_union_B","metric_1","metric_2","metric_3","metric_4","metric_5","pair","ipum2011","upaz2011","area11"
"170.1...115","jhalokati sadar","010042040","104240","010042",191507051.548798,191507051.548798,"banari para","010006010","100610","010006",128405940.073897,128405940.073897,1.6578848165411e-05,27762121.794654,319912991.622679,1.6578848165411e-05,5.18229912493359e-14,1.2911278213352e-13,8.65704319048873e-14,5.97175111039368e-13,"91_01",NA,NA,NA
"358.2...116","nazirpur","010079076","107976","010079",219746841.517485,219746841.517485,"banari para","010006010","100610","010006",128405940.073897,128405940.073897,0,0,348152781.591383,0,0,0,0,NA,"91_01",NA,NA,NA
"359...117","nesarabad (swarupkati)","010079087","107987","010079",182957615.997404,182957615.997404,"banari para","010006010","100610","010006",128405940.073897,128405940.073897,0,0,311363556.071302,0,0,0,0,NA,"91_01",NA,NA,NA
"16.1...118","babuganj","010006003","100603","010006",167969628.517071,167969628.517071,"barisal sadar","010006051","100651","010006",253991691.89015,253991691.89015,5.90331472269853e-05,454591014.592445,421961320.407162,5.90331472269853e-05,1.3990179756292e-13,3.51451317408764e-13,2.32421567759455e-13,1.29859907767667e-13,"91_01",NA,NA,NA
"17.1...119","bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,"barisal sadar","010006051","100651","010006",253991691.89015,253991691.89015,8.870836499344e-05,884797886.263364,638968694.642804,8.870836499344e-05,1.38830533854291e-13,3.49256955348783e-13,2.30425101653187e-13,1.0025833737925e-13,"91_01",NA,NA,NA
"19.2...120","barisal sadar (kotwali)","010006051","100651","010006",253991691.89015,253991691.89015,"barisal sadar","010006051","100651","010006",253991691.89015,253991691.89015,253991691.89015,8920768266.12191,253991691.89015,253991691.89015,0.999999999999999,1,1,0.0284719526741576,"91_01",NA,NA,NA
"22.1...121","mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,"barisal sadar","010006051","100651","010006",253991691.89015,253991691.89015,0.00107951874645834,5192669.72826706,764705553.469164,0.00107951874645834,1.41167896788639e-12,4.25021282556448e-12,2.11374475546527e-12,2.07892818713622e-10,"91_01",NA,NA,NA
"23.1...122","muladi","010006069","100669","010006",235339810.452698,235339810.452698,"barisal sadar","010006051","100651","010006",253991691.89015,253991691.89015,0,0,489331502.342848,0,0,0,0,NA,"91_01",NA,NA,NA
"170.2...123","jhalokati sadar","010042040","104240","010042",191507051.548798,191507051.548798,"barisal sadar","010006051","100651","010006",253991691.89015,253991691.89015,0,0,445498743.438948,0,0,0,0,NA,"91_01",NA,NA,NA
"172.1...124","nalchity","010042073","104273","010042",229314691.597271,229314691.597271,"barisal sadar","010006051","100651","010006",253991691.89015,253991691.89015,0.000868508965257941,103005848.828427,483306383.486553,0.000868508965257941,1.79701529905844e-12,3.78741091208949e-12,3.41943848160815e-12,8.43164708738608e-12,"91_01",NA,NA,NA
"15.1...125","agailjhara","010006002","100602","010006",155107163.92889,155107163.92889,"gaurnadi","010006032","100632","010006",152101216.691365,152101216.691365,0,0,307208380.620255,0,0,0,0,NA,"91_01",NA,NA,NA
"16.2...126","babuganj","010006003","100603","010006",167969628.517071,167969628.517071,"gaurnadi","010006032","100632","010006",152101216.691365,152101216.691365,0,0,320070845.208436,0,0,0,0,NA,"91_01",NA,NA,NA
"20.2...127","gaurnadi","010006032","100632","010006",152101216.691365,152101216.691365,"gaurnadi","010006032","100632","010006",152101216.691365,152101216.691365,152101216.691365,7724698315.67117,152101216.691365,152101216.691365,1,1,1,0.0196902468518151,"91_01",NA,NA,NA
"24.3...128","wazirpur","010006094","100694","010006",248911643.274889,248911643.274889,"gaurnadi","010006032","100632","010006",152101216.691365,152101216.691365,0,0,401012859.966254,0,0,0,0,NA,"91_01",NA,NA,NA
"231.1...129","kalkini","030054040","305440","030054",295756477.961951,295756477.961951,"gaurnadi","010006032","100632","010006",152101216.691365,152101216.691365,0,0,447857694.653316,0,0,0,0,NA,"91_01",NA,NA,NA
"21...130","hizla","010006036","100636","010006",373468204.305848,373468204.305848,"hizla","010006036","100636","010006",373468204.305848,373468204.305848,373468204.305843,9150424522.41368,373468204.305854,373468204.305843,0.99999999999997,0.999999999999985,0.999999999999985,0.0408143035758662,"91_01",NA,NA,NA
"22.2...131","mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,"hizla","010006036","100636","010006",373468204.305848,373468204.305848,0,0,884182065.885941,0,0,0,0,NA,"91_01",NA,NA,NA
"23.2...132","muladi","010006069","100669","010006",235339810.452698,235339810.452698,"hizla","010006036","100636","010006",373468204.305848,373468204.305848,7.7812189436761e-05,320035345.128804,608808014.758468,7.7812189436761e-05,1.27810717911839e-13,3.30637597128518e-13,2.08350238493228e-13,2.43136236734865e-13,"91_01",NA,NA,NA
"55...133","haim char","020013047","201347","020013",56759293.0100688,56759293.0100688,"hizla","010006036","100636","010006",373468204.305848,373468204.305848,2.09117163063599e-06,3.10647770067739,430227497.315915,2.09117163063599e-06,4.86061826285466e-15,3.68428061685868e-14,5.59932975960504e-15,6.73164861341188e-07,"91_01",NA,NA,NA
"223...134","roypur","020051058","205158","020051",214953861.114067,214953861.114067,"hizla","010006036","100636","010006",373468204.305848,373468204.305848,9.81430566753261e-05,156196917.584014,588422065.419817,9.81430566753261e-05,1.66790238576972e-13,4.56577314623093e-13,2.627882522362e-13,6.28329023346686e-13,"91_01",NA,NA,NA
"384...135","gosairhat","030086036","308636","030086",302012185.345119,302012185.345119,"hizla","010006036","100636","010006",373468204.305848,373468204.305848,0,0,675480389.650967,0,0,0,0,NA,"91_01",NA,NA,NA
"17.2...136","bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,"mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,3.83672815051309e-06,546782.832644002,895690864.332832,3.83672815051309e-06,4.28354056437868e-15,9.96612297118767e-15,7.51248093921452e-15,7.0169140679863e-12,"91_01",NA,NA,NA
"19.3...137","barisal sadar (kotwali)","010006051","100651","010006",253991691.89015,253991691.89015,"mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,0.00107955246922203,5192669.72826706,764705553.469164,0.00107955246922203,1.41172306690403e-12,4.2503455966935e-12,2.11381078610636e-12,2.07899313015294e-10,"91_01",NA,NA,NA
"21.1...138","hizla","010006036","100636","010006",373468204.305848,373468204.305848,"mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,0,0,884182065.885941,0,0,0,0,NA,"91_01",NA,NA,NA
"22.3...139","mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,"mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,510713861.580094,20887710323.4486,510713861.580092,510713861.580094,1,1,1,0.0244504473526122,"91_01",NA,NA,NA
"23.3...140","muladi","010006069","100669","010006",235339810.452698,235339810.452698,"mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,0.000112590283661114,547052449.473967,746053672.032679,0.000112590283661114,1.50914455463175e-13,4.7841579987906e-13,2.20456682559529e-13,2.05812593964944e-13,"91_01",NA,NA,NA
"25...141","bhola sadar","010009018","100918","010009",302406998.735139,302406998.735139,"mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,0.00814356044466003,339299335.124702,813120860.307089,0.00814356044466003,1.00151906588456e-11,2.69291401281109e-11,1.59454462807505e-11,2.4001109349852e-11,"91_01",NA,NA,NA
"222...142","lakshmipur sadar","020051043","205143","020051",528545169.511422,528545169.511422,"mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,962.589048794514,347179788.105384,1039258068.50247,962.589048794514,9.26227159517338e-07,1.88479131115879e-06,1.82120489282745e-06,2.77259530011098e-06,"91_01",NA,NA,NA
"223.1...143","roypur","020051058","205158","020051",214953861.114067,214953861.114067,"mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,4.96130914129367e-16,9.58219962690984e-15,725667722.69416,4.96130914129367e-16,6.83688827012175e-25,2.30808096006282e-24,9.71445953306205e-25,0.0517763074707893,"91_01",NA,NA,NA
"225...144","ramgati","020051073","205173","020051",418075417.121621,418075417.121621,"mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,285.353858590126,17170527.9391089,928788993.347856,285.353858590126,3.07232170744786e-07,6.82541586766185e-07,5.58735292022958e-07,1.66188168239244e-05,"91_01",NA,NA,NA
