"name","bgmea_num","capacity","product_type","machine","fac_type","upazila","Latitude","Longitude","fac_ad","date_est","machine_pred","predicted_date","exist06"
"apparel crais ltd",1316,156000,"NA",195.5,"0","Gulshan",23.7602426,90.4217671,"G.P. GA 185/A, School Road,Mohakhali,Dhaka",1992,0,0,1
"apparel export ltd",1263,75000,"NA",280.5,"0","Mirpur",23.7942336,90.3531953,"2/C, Darussalam Road,Section # 1,Mirpur,Dhaka",1991,0,0,1
"apparel fainpviltd",1168,78000,"NA",190.5,"0.5","Paltan",23.7314076,90.4111696,"70/G, Purana Paltan Lane,Paltan,Dhaka",1992,0,0,1
"apparel ltd ",116,96000,"NA",110,"0","New Market",23.7367455,90.3841952,"Jahan Mansion (2nd Floor),29 Mirpur Road,Dhanmondi,Dhaka",1985,0,0,1
"apparel mart ltd",2280,40000,"NA",80,"0.5","Badda",23.7798106,90.4237121,"Lutfan Tower (10th Floor), E-13,Middle Badda Bazar,Badda,Dhaka",1996,0,0,1
"apparel profile ltd",1997,48000,"NA",300,"1","Tejgaon Ind. Area",23.7712446,90.4018096,"260/B, Tejgaon I/A,Tejgaon,Dhaka",1995,0,0,1
"apparel sources ltd",2779,48000,"NA",160,"0","Uttara",23.8665223,90.3995649,"Plot # 56, Road # 2,Sector # 3,Uttara,Dhaka",1998,0,0,1
"apparel sttch ltd",3153,150000,"NA",119,"0.5","Tejgaon Ind. Area",23.777145,90.4160967,"430/1/A, Tejgaon I/A,Tejgaon,Dhaka",2000,0,0,1
"apparel ward pvlid",1431,9e+05,"NA",130,"0","Mohammadpur",NA,NA,NA,1992,0,1,1
"applique fashions wear ltd",889,1400000,"NA",200,"0","Adabor",23.7708309,90.3564904,"840-841, Baitul Aman Housing Society,Ring Road,Shamoli,Dhaka",1991,0,0,1
"appolo fashions ltd",3030,250000,"NA",154.5,"1","Mirpur",23.8051301,90.364593,"Plot # I-5/2, Road # 7,Section # 7,Mirpur,Dhaka",1999,0,0,1
"aps apparels ltd",2930,30000,"NA",158,"1","Dakshinkhan",23.8798007,90.4162798,"Holding # 106, Ward # 5, East Faridabad,Baitur Rahmat Jame Mosque Road,Dakshinkhan,Dhaka",1999,0,0,1
"arcadia apparets ltd",1663,30000,"NA",128,"0","Rampura",23.7582448,90.4176904,"1/1, Khilgoan,D.I.T Road, Hajipara,Rampura,Dhaka",1993,0,0,1
"arch ltd ",2417,64500,"NA",254,"1","Gazipur Sadar",23.9772783,90.3805947,"699, 705, Vogra,Joydevpur,Gazipur",1996,0,0,1
"areana garments ltd",42,32000,"NA",142.5,"0",NA,23.75981,90.39132,"72, east testory bazar, dhaka tejgaon",1984,0,0,1
"aries apparels pvt ltd",1650,NA,"NA",325,"0","Mohammadpur",23.773178,90.3668061,"24/2, Khiljee Road,Shamoli Cinema Hall Complex,Shamoli,Dhaka",1993,0,0,1
"armana fashions ltd ",2297,2e+05,"NA",450,"0","Tejgaon Ind. Area",23.7713316,90.4018197,"232-234, Tejgaon I/A,Tejgaon,Dhaka",1996,0,0,1
"armour garments ltd",819,120000,"NA",126,"1","Rampura",23.7628004,90.4202949,"97, D.I.T Road,Rampura,Dhaka",1991,0,0,1
"aroma fashions wear ltd",3072,50000,"shirts, jackets, pants",109.5,"0","Gulshan",23.7924961,90.4078058,"Habib Super Market,50 Gulshan,Gulshan,Dhaka",2000,0,0,1
"around star sweaters ltd",1827,1e+05,"NA",545,"1","Rupganj",23.7820829,90.5641819,"Hazi Azij Super Market (1st Floor),Golakandail, Bhulta,Rupganj,Narayanganj",1994,0,0,1
"array wears ltd",1799,1e+05,"NA",119,"0","Rampura",23.7509892,90.4141064,"1027, Malibagh Bazar Road,Malibagh,Dhaka",1994,0,0,1
"arrival fashions ltd",2816,3e+05,"NA",342,"0","Gazipur Sadar",23.9504063,90.380132,"Colomessore,National University,Board Bazar,Gazipur",1998,0,0,1
"arrow apparels ltd",85,120000,"NA",227.5,"0","Rupganj",23.7133326,90.5175125,"248, Tatki, Taraboo,Rupgonj,Narayanganj",1985,0,0,1
"arrow sports wear ltd",2456,250000,"NA",165,"0","Mirpur",23.8020691,90.3738968,"Commercial Plot # 41, Road # 1,Senpara Parbata,Mirpur,Dhaka",1997,0,0,1
"arshia apparel ltd",1613,135000,"NA",167,"0.5","Gulshan",NA,NA,NA,1993,0,1,1
"artificial plant and radiant knitdyeltd",2339,120000,"NA",105,"1","Gazipur Sadar",24.0087344,90.324357,"142-143, BSCIC Inds. Estate,Plot # 142-143,Konabari,Gazipur",1996,0,0,1
"arunima apparels ltd",3190,202800,"shorts, jackets, trousers",299,"0","Pallabi",23.8123526,90.3567613,"Plot # I/10, Block - K,Rupnagar, Section # 2,Mirpur,Dhaka",2000,0,0,1
"aryan knitwear",2494,NA,"NA",60,"1","Narayanganj Sadar",23.6072677,90.4982201,"4/5, Shasuja Road,Narayanganj",1997,0,0,1
"asha apparels ltd",1761,90000,"NA",40,"1","Narayanganj Sadar",NA,NA,NA,1993,0,1,1
"asha fashions ltd ",804,36000,"NA",100,"0","Kafrul",23.7944882,90.3802291,"262/1, Ibrahimpur,Cantonment,Dhaka",1991,0,0,1
"asha garments ltd",468,50000,"NA",105,"0","Rampura",23.7512869,90.413756,"468 D.I.T. Road (3rd Floor),Malibagh Biponi Bitan,Malibagh,Dhaka",1984,0,0,1
"ashfatex ltd",1261,120000,"NA",169,"1","Gazipur Sadar",23.8928706,90.4131072,"Plot # B-30-32, BSCIC Inds. Estate,Tongi,Gazipur",1992,0,0,1
"ashiana garments industries",2692,50000,"NA",160,"0",NA,23.76024,90.41867,"2/1, east rampura (2nd to 5th fl), dit road dhaka rampura",1998,0,0,1
"ashik garments ltd",1252,360000,"NA",500,"0","Tejgaon Ind. Area",23.7711875,90.4016005,"1327, Tejgaon I/A,Tejgaon,Dhaka",1992,0,0,1
