"name","bgmea_num","capacity","product_type","machine","fac_type","upazila","Latitude","Longitude","fac_ad","date_est","machine_pred","predicted_date","exist91","exist01"
"nerob fashions pvt ltd",1319,"90000","Shirts, Ladies Shirts, Children wears",122,"0","Shyampur",23.6924149,90.4337883,"277, Alam Bagh,Alam Super Market (2nd Flr), New Jurain,Jurain,Dhaka",1992,0,0,0,1
"nethee apparels ltd",2415,"36000","Shirts, Ladies Shirts, Children wears",65,"0","Shyampur",23.6924149,90.4337883,"413, Alam Super Market (2nd Floor),Alam Bagh, New Jurain,Jurain,Dhaka",1996,0,0,0,1
"new brothers knitwear ltd",1728,"240000","Jogging Suits, T-shirts, Polo Shirts",124,"1","Demra",23.7072957,90.4984228,"Shukurshi,Sharulia,Demra,Dhaka",1994,0,0,0,1
"new fashions ltd",1098,"30000","Jackets, Trousers",168,"0","Pallabi",23.8253064,90.3724815,"1, Harunabad (3rd floor),Section # 12,Mirpur,Dhaka",1992,0,0,0,1
"new millennium fashions wear pvt ltd",3112,"60000","Shortalls",100,"0.5","Panchlaish",22.3686028,91.8324814,"Siraj Shopping Complex,85, Muradpur,Panchlaish,Chittagong",2000,0,0,0,1
"new modern garments industry ltd",728,"54000","Shirts, Blouses, Trousers",170,"0","Tejgaon Ind. Area",23.7749259,90.3980577,"5/A, Rasul Bugh,Mohakhali,Dhaka",1989,0,0,1,1
"new morning apparels ltd",1215,"30000","Jackets, Pants",120,"0","Kotwali",22.359848,91.8277434,"1290 O.R. Nizam Road,Chittagong",1992,0,0,0,1
"new season garments ltd",649,"30500","Ladies Shirts, Trousers, Infants Wear",80,"0","Adabor",23.7751262,90.3649688,"14/1, Mirpur Road,Shamoli,Dhaka",1986,0,0,1,1
"new tech apparels ltd",1697,"21000","Jackets, Pants, Overalls",165,"0.5","Double Mooring",22.3385499,91.813581,"Saleha Complex,215, D.T. Road,Dewanhat,Chittagong",1994,0,0,0,1
"new wave apparel ltd",1031,"48000","Shirts, Ladies Shirts",120,"0","Mirpur",23.7815732,90.3604382,"45, Kallyanpur Main Road,Shamoli,Dhaka",1992,0,0,0,1
"new world apparels ltd",1080,"48000","Shirts, Ladies shirts",132,"0","Tejgaon Ind. Area",23.7757552,90.3980955,"59, Shahid Tajuddin Ahmed Sarani,Ka-19, Rasulbagh,MOhakhali,Dhaka",1992,0,0,0,1
"newage apparels ltd",2168,"96000","Shirts, Blouses",190,"0.5","Savar",23.9101983,90.3172039,"Purba Narshingdhipur,Zirabo,Savar,Dhaka",1995,0,0,0,1
"newage fashions wear ltd",1451,"96000","Knitted Garments",118,"0.5","Sher-e-bangla Nagar",23.7581517,90.3866327,"42/I, Indira Road,Tejgaon,Dhaka",1993,0,0,0,1
"newage garments ltd",127,"192000","Shirts, Blouses",410,"0","Sher-e-bangla Nagar",23.7581517,90.3866327,"42/I, Indira Road,Tejgaon,Dhaka",1985,0,0,1,1
"news style garments ltd",2511,"160000","Shirts, Jackets, Blouses",240,"0","Badda",23.7798106,90.4237121,"Lufun Tower (5th Floor),Plot # E/13, Middle Badda,Badda,Dhaka",1997,0,0,0,1
"newtex apparel wear ltd",2136,"150000","Shirts, Jackets, T-Shirts",105,"0","Kalabagan",23.7500483,90.3868956,"66, Green Road,Green Road,Dhaka",1995,0,0,0,1
"newtex design ltd",3137,"150000","Shirts, Jackets, Overalls",95,"0","Mirzapur",24.099259,90.1612029,"Gorai I/A,Mamin Nagar,Mirzapur,Tangail",2000,0,0,0,1
"nexus sweaters inds pvt ltd",2942,"x","Sweaters",232,"1","Gazipur Sadar",23.9999405,90.4202724,"Nexus Tower, Chowdhury Bari Road,Vogra,Joydevpur,Gazipur",1999,0,0,0,1
"niaz garment industry pvt ltd",1747,"200000","Jackets, Polo Shirts",155,"0","Kafrul",23.7962894,90.3874274,"234/1, Kachukhet,Cantonment,Dhaka",1995,0,0,0,1
"nice knitting apparels ltd",1079,"83000","Shirts, Shorts, Jackets",100,"0","Pallabi",23.8253064,90.3724815,"Sultan Mansion (1st floor),3, Sujat Nagar, Section # 12,Mirpur,Dhaka",1992,0,0,0,1
"nimmi apparels ltd",2973,"x","Blouses, Nightwears, Dusters",185.238576627578,"0","Uttara",23.8680559,90.4001427,"43, Chalabon,Azampur,Uttara,Dhaka",1999,1,0,0,1
"nipa fashions wear industry ltd",3203,"x","Jackets, Jogging Suits, Pants",108,"0.5","Chak Bazar",23.7129648,90.3883735,"Selina Tower (Grng-2nd Fl), Islambag,Holan Road, Dhakhinkhan,Uttara,Dhaka",2000,0,0,0,1
"nipam fashions ltd",3101,"x","Knit Items",50,"1","Gazipur Sadar",23.9442528,90.3818982,"Board Bazar,Gazipur",2000,0,0,0,1
"niponika garments ltd",927,"92000","Shirts, Overalls, T-Shirts",125,"0","Kafrul",23.7902778,90.3847168,"24, North Kafrul,Cantonment,Dhaka",1991,0,0,1,1
"nisa apparels ltd",3193,"144000","Fashion Wears, Overalls, tr",459,"1","Gazipur Sadar",23.9504063,90.380132,"Dighir Chala,National University,Gazipur",2000,0,0,0,1
"nishaan garments ltd",534,"7000","Shirts, Jackets, Pants",90,"0","Tejgaon",23.7770977,90.396466,"76, Mohakhali C/A,(2nd Floor),Mohakhali,Dhaka",1985,0,0,1,1
"noami apparels ltd ",962,"80000","Shirts,T-Shirts/ Tank Top",200,"0","Badda",23.7890883,90.438759,"287, Satarkul Road,Aur More, North Badda,Badda,Dhaka",1992,0,0,0,1
"noami dresses ltd",389,"75000","Jackets, T-Shirts",155,"0","Badda",23.7890883,90.438759,"287, Satarkul Road,Alir More, North Badda,Badda,Dhaka",1985,0,0,1,1
"noba textiles ltd ",1041,"250000","Shirts, Jackets, Shorts, Trousers",126,"1","Jatrabari",23.7069726,90.4345347,"249/C, South Jatrabari,Jatrabari,Dhaka",1992,0,0,0,1
"noble- fashions industries ltd",1358,"50000","Shirts, Dresses, Trousers",83,"0.5","Rampura",23.7574366,90.41678,"7/4, West Haji Para,Rampura,Dhaka",1993,0,0,0,1
"nofs garments ltd",1437,"30500","Jakcets, Dresses",119,"0","Adabor",23.7671997,90.3580209,"40/41, Probal Housing,Ring Road,Mohammadpur,Dhaka",1993,0,0,0,1
"noman apparels",2569,"x","Shirts, Trousers, Knit Garments",105,"1","Narayanganj Sadar",23.6841168,90.5154869,"Adamjee Road,Godnail,Narayanganj",1997,0,0,0,1
"nomura corporation ltd",1379,"90000","Shirts, Jackets, Jogging Suits",110,"0","Tejgaon",23.7547218,90.3916902,"93, Kazi Nazrul Islam Avenue,Kawran Bazar,Dhaka",1993,0,0,0,1
"noor apparels",1733,"30000","Shirts, Jackets, Shorts",55,"0","Gulshan",23.78878,90.400134,"House # 79 (5th Floor), Block- E,Chairman Bari,Banani,Dhaka",1994,0,0,0,1
"noor garments ltd",381,"50000","Shirts, Pants",244,"0","Chandgaon",22.3951524,91.8824544,"BSCIC Industrial Estate,F. I. D. C. RD.,Kalurghat,Chittagong",1985,0,0,1,1
"north star apparel ltd",1394,"90000","Shirts, Jackets, Shorts",110,"0","Narayanganj Sadar",23.6237764,90.5000404,"88, Sirajaddaula Road,Narayanganj",1993,0,0,0,1
"northern apparels ltd",1510,"30000","Shirts, Jackets, Trousers",55,"0","Double Mooring",22.3244537,91.8117232,"40, Agrabad C/A,(4th Floor),Chittagong",1993,0,0,0,1
"northern corporation ltd",1469,"200000","T-Shirts/Polo Shirts, Sports Wear",187,"1","Gazipur Sadar",23.8928706,90.4131072,"BSCIC Indutrial Estate,Tongi,Gazipur",1987,0,0,1,1
"nouvelle garments ltd",1148,"60000","Shirts, Ladies  dresses, Pants",70,"0","Savar",23.9110983,90.2974486,"Kathgara,Ashulia,Savar,Dhaka",1992,0,0,0,1
