"name","bgmea_num","capacity","product_type","machine","fac_type","upazila","Latitude","Longitude","fac_ad","date_est","machine_pred","predicted_date","exist91","exist01"
"europa appareis ltd",785,"90000","ts,po,tr",100,"1",NA,24.0692728,90.2219569,"chandura, mouchak gazipur kaliakoir",1991,0,0,1,1
"experience clothing coltd",2295,"52000","bl,jac,tr",125,"0",NA,23.95014,90.27326,"plot # 72 & 82, ganakbari, depz dhaka savar",1996,0,0,0,1
"export knitware ltd",881,"90000","sh,dresses, jumpers",122,"0",NA,23.90104,90.40882,"sena kalyan comm. complex (4th floor), plot # 9, block-f gazipur tongi",1991,0,0,1,1
"ffapparels td",1424,"36000","sweaters",200,"1",NA,22.35987,91.82247,"house # 27, road # 2, o.r. nizam road, gec circle chittagong",1993,0,0,0,1
"falcon international knit composite",2964,"X","X",100,"1",NA,23.7646,90.35102,"plot # 2/1 (basement, ground, 1st fl), road # 7, nobodoy housing society dhaka mohammadpur",1999,0,0,0,1
"fancy fashions wear",1734,"75000","sh,bl,dresses",40,"0",NA,23.86451,90.40389,"plot # 2-a (4th & 5th floor), road # 13, sector # 4 dhaka uttara",1994,0,0,0,1
"far east knitting and dyeing indltd",1944,"117000","ld,ts,ps,knit tops",82,"1",NA,23.72058,90.42,"15/1, shahid nazrul islam road, hatkhola dhaka dhaka",1994,0,0,0,1
" fashions house southernltd",749,"10800","woven,knit",200,"0",NA,23.90873,90.30663,"bara rangamatia, ashulia dhaka savar",1989,0,0,1,1
" fashions apparels",1815,"35100","jac,tr",160,"0",NA,23.87098,90.38379,"chaydana, gazipur k.b. bazar",1994,0,0,0,1
"fcibd ltd ",2609,"300000","bl,blazers,tr",400,"0",NA,23.95014,90.27326,"plot # 36-39, depz dhaka savar",1998,0,0,0,1
"fine crafts",1760,"24000","sh,bl,dresses",60,"0",NA,23.72724,90.3954,"24/ka, saheed minar road (4th floor), dhaka kallyanpur",1994,0,0,0,1
"fortune fashions ",1523,"90000","sh,pj,vest",302,"0.5",NA,22.32762,91.81572,"jahan building no. 2,, 28 agrabad c/a chittagong agrabad",1993,0,0,0,1
"friends and friends apparels pltd",1060,"50000","jac,tr,jo",200,"0",NA,22.35685,91.78318,"mehedi supper market (2nd floor), 754/827, mehedibagh chittagong kotawali",1992,0,0,0,1
"friends world knitwears ltd",2209,"X","X",185.238576627578,"0.5",NA,23.82531,90.37248,"sujat plaza (1st & 2nd floor), 2, sujat nagor, section # 12 dhaka mirpur",1995,1,0,0,1
"fullcharm knitters fashions ltd",3006,"X","sweaters",200,"1",NA,23.9504063,90.380132,"plot # 1175 & 1179, bhasan sarak, vogra, national university gazipur",1999,0,0,0,1
"grapparels ltd",1956,"800000","cw,ki",160,"1",NA,22.35125,91.79428,"1293, dhaka trank road, chittagong dhaniala para",1994,0,0,0,1
"garib and garib coltd",1930,"30000","sweaters",150,"1",NA,23.9772783,90.3805947,"vogra, gazipur joydevpur",1994,0,0,0,1
"gem knitwear fabrics coltd",2657,"X","ts",70,"1",NA,23.93258,90.27844,"baipail, dhaka savar",1998,0,0,0,1
"gilano apparels ltd",876,"270000","ts,tt,ps",165,"0.5",NA,23.7157,90.41664,"59, 59/1, tipu sultan road, dhaka sutrapur",1991,0,0,1,1
"gola land international ltd",3182,"X","sh",31,"1",NA,23.8864,90.32865,"landmark complex, shadhur para, baro ashulia dhaka savar",2000,0,0,0,1
"goldstar fashions ltd",1143,"50000","bl,jac,babies dresses",150,"0",NA,23.89287,90.41311,"plot # a-112, 113 (west side)bscic inds estate, gazipur tongi",1992,0,0,0,1
"good day appareis ltd",1839,"180000","sh,st,pj",200,NA,NA,23.75429,90.36866,"house # 79, block - d, in'l airport road dhaka",1994,0,0,0,1
"gocryong fashions ltd",1239,"300000","sh,bl,st",460,"0",NA,23.88919,90.39721,"plot # 27-28, block # b, machimpur, tongi i/a gazipur",1992,0,0,0,1
"gous apparels indltd",3144,"60000","jac,skirts",123,"0",NA,22.35591,91.77628,"68/y, sagarica road (1st floor), chittagong pahartoli",1999,0,0,0,1
"green worid fashions ltd",3146,"X","sh,jac,jo",83,"0",NA,23.74936,90.40898,"30, shahid capt. munsur ali sarani, dhaka baro mogbazar",2000,0,0,0,1
"greenland appareis ltd",1236,"100000","sh,jac,rompers",277,"0.5",NA,22.3643,91.8267,"baizid bostami road, nasirabad i/a chittagong nasirabad",1992,0,0,0,1
"ha garments indsltd",659,"90000","sh,st,tr",165,"0",NA,23.76024,90.41867,"68/2, east hajee para, d.i.t road dhaka rampura",1987,0,0,1,1
"hbgarments ltd",244,"36000","X",68,"0",NA,23.61281,90.50383,"35/1, nayamati road, narayanganj",1985,0,0,1,1
"hmstyle ltd",2210,"X","X",185.238576627578,"0",NA,23.77776,90.40574,"2, mohakhali c/a, dhaka mohakhali",1995,1,0,0,1
"hngarments ltd",797,"100000","sh,jac,nw",750,"0",NA,22.36082,91.8233,"255, nasirabad i/a, chittagong",1991,0,0,1,1
"harvest rich ltd",1165,"2198000","jac,tr,ps",340,"0.5",NA,23.77129,90.55801,"dhaka norsingdi highway, vulta narayanganj rupganj",1992,0,0,0,1
"harvest rich ltdu-2",2970,"292000","jac,st,ki",575,"0.5",NA,23.7855,90.56702,"dhaka norsindi highway, vulta narayanganj rupganj",1999,0,0,0,1
"hearty appareis ltd",3012,"x","jac,jo,rompers",55,"0",NA,23.75249,90.41445,"1101, dit road, malibagh chowdhury para dhaka malibagh",1999,0,0,0,1
"hovency knitters ltd",1489,"150000","ts",195,"0.5",NA,22.35685,91.78318,"plot # 35, sector # 4, road # 4, chittagong cepz",1993,0,0,0,1
"ieenterprise and exports",2432,"30000","sh, pa",60,"0",NA,22.36929,91.8206,"62, east nasirabad, chittagong panchlaish",1997,0,0,0,1
"imperial dying and hosiery mills ltd",1243,"150000","jac,ts,dresses",395,"1",NA,23.63091,90.47206,"harihar para, narayanganj fatullah",1992,0,0,0,1
"interfabbdltd",2818,"50700","sh,ls,cw",125,"0",NA,23.953676,90.3779667,"302/547 (g. floor & 1st floor), kunia, gasa union, kb bazar,national university gazipur",1998,0,0,0,1
"islam garments ltdhosiery div",1214,"300000",NA,350,"1",NA,23.9960813,90.3218558,"jarun, gazipur konabari",1992,0,0,0,1
"izafa garments ltd",1325,"X",NA,185.238576627578,"0",NA,23.79604,90.35322,"10, darus salam road, section # 1 dhaka mirpur",1992,1,0,0,1
"jbsgarments pvt ltd",1608,"60000",NA,110,"0",NA,23.76389,90.42078,"95/b, d.i.t road, khilgaon chowdhury para dhaka khilgaon",1993,0,0,0,1
"jkfabrics ltdunit-2",2356,"300000",NA,363,"1",NA,23.77084,90.24829,"south dariapur, dhaka savar",1995,0,0,0,1
"jkkapparels ltd",988,"30667",NA,40,"0",NA,23.75047,90.41301,"468/1, dit road, dhaka malibagh",1992,0,0,0,1
"jmapparels ltd",3172,"x","jac,tr",47,"0",NA,23.79405,90.38308,"khan mansion (g/f, 4th & 5th floor), 284, ibrahimpur, kachukhet dhaka cantonment",2000,0,0,0,1
"jarq garments indsltd",334,"36000",NA,280,"0",NA,22.32372,91.82284,"802, k.b. dovash lane, chittagong goshaildanga",1985,0,0,1,1
"jeans manufacturing company ltd",33,"38400",NA,95,"0",NA,23.80299,90.35278,"13-14, zoo road, mollik tower, section # 1 dhaka mirpur",1985,0,0,1,1
"jayed garments",3227,"x",NA,100,"0",NA,23.80642,90.36792,"road # 1, block - kha, section # 6 dhaka mirpur",2000,0,0,0,1
"jinnal appareis ltd",3214,"x",NA,110,"1",NA,23.970545,90.2947322,"sardaganj, gazipur kashimpur",2000,0,0,0,1
"jnh hatwears bangladeshltd",1262,"600000",NA,354,"0",NA,23.7873,90.40251,"house # 79, block # j (6th & 7th floor), chairman bari dhaka banani",1992,0,0,0,1
"kawgarments industry ltd",1362,"135000",NA,205,"0",NA,23.79141,90.37516,"808/1, shewrapara, begum rokeya sharani dhaka mirpur",1992,0,0,0,1
"kali sweater industries",2505,"35000",NA,290,"1",NA,23.88121,90.4457,"tie centre, chamur khan, uttar khan dhaka uttara",1997,0,0,0,1
"kbapparels ltd",1545,"45000",NA,135,"0",NA,23.69277,90.43019,"30, postagola industrial area, dhaka postagola",1993,0,0,0,1
"kggarments ltd",2817,"75000",NA,145,"0",NA,23.82831,90.36071,"purabi super market (4th & 5th floor), plot # c-35, section # 7, pallabi dhaka mirpur",1998,0,0,0,1
"krctop shirts ltd",2180,"75000",NA,150,"0",NA,23.73369,90.42607,"krc bahban (4th floor), 1/1, north kamlapur dhaka kamalapur",1995,0,0,0,1
"ksapparels",798,"5000",NA,98,"0",NA,22.36082,91.8233,"255, nasirabad i/a, chittagong",1991,0,0,1,1
"kass garments pviltd",351,"72000","Shirts, Blouses, Pants",192,"0.5",NA,22.32344,91.81158,"262 (new) sk. mujib road, chittagong dewnhat",1984,0,0,1,1
"kds hi·tech garments bd ltd",2781,"80000","Shirts, Jackets, Trousers",72,"0.5",NA,22.36082,91.8233,"255, nasirabad i/a, chittagong",1998,0,0,0,1
"kimia garments indltd",2541,"120000","Ladies Shirts, Overalls, Skirts",230,"0",NA,23.81588,90.41641,"ka-59, joar sahara bazar, dhaka cantonment",1997,0,0,0,1
"kimtex ltd",1058,"50000","Sweaters",200,"1",NA,22.36277,91.81161,"ms-1 (1st floor), plot # 3, road # 3 chittagong cepz",1992,0,0,0,1
"kkk garments lld",296,"69000","Swim Shorts, Polo Shirts, Jogging Suits",90,"0.5",NA,23.7456,90.42371,"686, shajahanpur (north), dhaka malibagh",1985,0,0,1,1
"knit concern",2383,"375000","Ladies Shirts, Knit Items",300,"1",NA,23.63867,90.51438,"62, water works road, narayanganj godnail",1996,0,0,0,1
"knit fashions pvlltd",1438,"30000","Sweaters",100,"1",NA,22.32445,91.81172,"house # 686, road # 20,, c.d.a r/a chittagong agrabad",1993,0,0,0,1
"knittex industries ltdunit-2",1908,"250000","Shirts, T/Polo Shirt/Tanktop, Vest",88,"1",NA,24.0112973,90.3219053,"plot # 247-252, baimile, gazipur konabari",1994,0,0,0,1
"koresbangladesh ltd",2911,"40000","Sweaters",220,"1",NA,23.69407,90.49565,"mouchak, sanarpar narayanganj siddirganj",1999,0,0,0,1
"kuliarchar sweater indsltd",2102,"130000","Shirts, Ladies Shirts, Pullovers",900,"1",NA,23.9999405,90.4202724,"bada kalmasher, gazipur k.b. bazar",1995,0,0,0,1
"kushiara composite knit indsltd",3052,"500000","Knit Items",180,"1",NA,23.91126,90.25478,"tetoi bari, dehra dhaka savar",2000,0,0,0,1
"la-belle apparels pvt itd",2668,"43200","Sweaters",286,"1",NA,23.9999405,90.4202724,"vogra, basan union gazipur joydevpur",1998,0,0,0,1
"liberty garments indsltd",149,"120000","Jackets, Overalls, Pants",330,"0",NA,23.80353,90.35631,"plot #9, block # d, section # 2, road # 3 dhaka mirpur",1985,0,0,1,1
"lik fung garment bangladesh ltd",1600,"5000000","T-Shirts, Swimming Trunks, Under Wears",2000,"0.5",NA,22.29294,91.77662,"plot # 1-4, sector # 6, chittagong cepz",1993,0,0,0,1
"liz fashions industry",2486,"800000","Jackets, Pants",350,"0.5",NA,24.0478735,90.2379523,"holding # 1 (3rd - 6th floor), shafipur, purba chandra gazipur kaliakoir",1997,0,0,0,1
"lucky garments ind pvt ltd u-2",675,"85000","Knitted Garments, Jogging Wears, Nightwears",175,"0.5",NA,23.70995,90.40486,"5/3 iswar chandra road, badamtoly dhaka old dhaka",1987,0,0,1,1
"luta garments",1008,"40000","Jackets, Jogging Suits",180,"0",NA,23.75168,90.41365,"476/b, d.i.t road, dhaka malibagh",1992,0,0,0,1
"lyric garments ltd",1732,"25000","Windbreakers, Shorts, Jogging Suits",250,"0",NA,23.9962662,90.3924947,"chandona-naljani, bashan, gazipur joydevpur",1994,0,0,0,1
"maltaf and companypvl ltd",410,"120000","Shirts, Blouse/Fashion Wears, Trousers, Shorts",245,"0.5",NA,23.73673,90.40385,"123, new kakrail road, (2nd & 3rd floor) dhaka kakrail",1985,0,0,1,1
"magaffar ltd",1624,"200000","Knitted Garments",72,"1",NA,23.77464,90.36557,"8b, 8c, shyamoli cinama complex, dhaka mirpur road",1993,0,0,0,1
"magaffar lldgd-2",3018,"X","Knitted Garments",46,"1",NA,23.77101,90.36393,"8/3, 8/c, shamoli cenima hall complex, dhaka shamoli",1999,0,0,0,1
"mbknit fashions ",2469,"180000","T-Shirts, Polo Shirt, Vest",70,"1",NA,23.62419,90.47973,"a/122, bscic inds. estate, narayanganj fatullah",1997,0,0,0,1
"mhdresses ltd",2856,"X","Shirts, Jackets, Shorts",83,"0",NA,23.74274,90.39054,"190, inner circular road, dhaka motijheel",1998,0,0,0,1
"mmtrade apparels",2220,"11000","Knitted Garments",150,"1",NA,23.64609,90.5991,"plot # 1342, char ramzan, sanaullah narayanganj sonargaon",1995,0,0,0,1
"mngarments ltd",314,"36000","Shirts, Blouses, Pajama Sets",185,"0",NA,23.0716,90.49048,"754, uttar agrabad, d.t. road chittagong monsurabad",1984,0,0,1,1
"mnknitwears ltd",3017,"30000","Shirts, Blouses, Swimming Wears",78,"0",NA,22.3479,91.79515,"201/a, m.n. plaza, rampur, eidgah, dt road chittagong eidgah",1999,0,0,0,1
"mswearing apparels ltd",2284,"40000","Knit Items, Swimming Trunks, Children Wears",125,"0.5",NA,22.32445,91.81172,"74, agrabad c/a, chittagong",1996,0,0,0,1
"mshgarments",2000,"10000","Jackets, Jogging Suits, Pants",100,"0.5",NA,23.77425,90.39872,"ka-14-15, rasulbag, dhaka mohakhali",1995,0,0,0,1
"mama garments ltd",1022,"158000","Shirts, Long/short's Pants, Jackets",153,"0",NA,23.9504063,90.380132,"ahadullah chowdhury complex, vogra, national university gazipur",1992,0,0,0,1
"mamataz appareis ltd ",1202,"66000","Shirts, Shorts",170,"0",NA,23.76028,90.38969,"34, kazi nazrul islam avenue, (6th & 7th floor), west tejturi bazar dhaka kawran bazar",1991,0,0,1,1
"mark garments indsltd",110,"120000","Shirts, Jackets, Jogging Sets",150,"0",NA,23.74936,90.40898,"342, tongi diversion road, dhaka mogbazar",1985,0,0,1,1
"masaha knitting and dyeing indsltd",2855,"150000","Infant Wears, Knit Garments, Tank Tops",85,"1",NA,23.90104,90.40882,"plot # c173, b-181, 182, 192, bscic i/a gazipur tongi",1998,0,0,0,1
"masse manufacturing ltd",941,"70000","Shirts, Blouses, Trousers",300,"0",NA,24.0259116,90.3858742,"master bari bus stand, araisho prasad gazipur salna bazar",1992,0,0,0,1
"mastrade intlgarments ltd",1238,"62400","Shirts, Dresses, Shorts",148,"0",NA,24.0261018,90.2757594,"helal complex (4th & 5th fl), plot # 72, moghar khal, national university gazipur",1992,0,0,0,1
"masudapparels ltd",2061,"78000","Shirts, Blouses, Nightwears",120,"0",NA,23.78201,90.399,"h-79 block-e, (1st floor), int. airport road, chairmanbari dhaka banani",1995,0,0,0,1
"matexport bangladeshltd",3121,"37000","jac,jo,skirts",148,"0",NA,23.9960813,90.3218558,"jarun, gazipur konabari",2000,0,0,0,1
"max brite ltd",1152,"90000","Shirts, Jackets, Trousers",350,"0",NA,22.36785,91.8265,"610/687, 687/a, east sholoshahar, chittagong bahaddarhat",1992,0,0,0,1
"may apparels indsltd",2139,"60000","Shirts, Ladies Blouses, Children's Wears",60,"0",NA,23.75261,90.41535,"31, malihgh chowdhury para, dhaka malibagh",1995,0,0,0,1
"meerala ltd",1946,"40000","Shirts, Jackets, Pants",162,"0",NA,23.79553,90.41568,"plot # 33, north avenue, dhaka gulshan-2",1994,0,0,0,1
"midasia fashions ltd",1707,"10800","Shirts, Blouses, Jackets",165,"0",NA,23.80075,90.37896,"inds. plot # m- 16, section # 14 dhaka mirpur",1994,0,0,0,1
"mifkil apparel ltd",1232,"80000","Jackets, Trousers, Jogging Suits",120,"0",NA,23.92026,90.38107,"114/1, 114/2, noyabari road, sataish gazipur tongi",1992,0,0,0,1
"mim sweater ltd",3212,"x","sweaters",291,"1",NA,24.0958171,90.4125181,"basan sarak bazar, gazipur vogra",2000,0,0,0,1
"mimtex knitting gmts and printing lld",2924,"X","Knit Items",50,"1",NA,23.89287,90.41311,"s-21, bscic inds. estate, gazipur konabari",1999,0,0,0,1
"mir fashions wear lld",2479,"62000","Children Wears, Shorts",120,"1",NA,22.32344,91.81158,"304, sk. mujib road, chittagong",1997,0,0,0,1
"mithun knitting and dyeing cepzltd",2726,"110000","Knit Items",53,"1",NA,22.28314,91.77518,"plot # 43-46, sector # 4, south halishahar chittagong cepz",1998,0,0,0,1
"moazzem garment indsltd",54,"31500","Shirts, Pants",105,"0",NA,23.79377,90.41473,"31, gulshan avenue, circle # 1 dhaka gulshan",1985,0,0,1,1
"mchammadi industries ltd",2026,"36000","Knit Items, Swim Trunks",90,"0",NA,22.39515,91.88245,"27/42, bscic i/a, chittagong kalurghat",1995,0,0,0,1
"mchan apparels and textile",2663,"X","Jackets, Under Garments",72,"0",NA,23.77705,90.41638,"na, dhaka",1998,0,0,0,1
"mcmtaj fashions ltd",2468,"100000","Shirts, Blouses, Jackets",250,"0.5",NA,22.32445,91.81172,"wazedia, panchlaish, chittagong agrabad",1993,0,0,0,1
"moni sweater lldu-2",2929,"450000","Sweeters",116,"1",NA,24.17786,90.4399195,"madhkhola, gazipur sreepur",1999,0,0,0,1
"monowara textile",708,"30000","T-shirts/Polo Shirts",600,"1",NA,23.62119,90.48917,"plot # 225, masdair, narayanganj fatullah",1988,0,0,1,1
"mostafa garments industries ltd",1155,"75000","Shirts, Bloses, Shorts",230,"0",NA,22.32445,91.81172,"40, agrabad c/a, chittagong",1992,0,0,0,1
"mrinmoy fashions and trade ints ltd",3122,"X","Shirts, Jackets, Jogging Suits",77,"0",NA,23.72112,90.42054,"7, hatkhola road, dhaka motijheel",2000,0,0,0,1
"nbappareis pvi ltd",1861,"90000","Knit Items, Shorts",96,"0.5",NA,22.35685,91.78318,"71, feeringee bazar, bridge ghata chittagong",1994,0,0,0,1
"nkkkmtweat ltd",2019,"96000","T/Polo Shirts",211,"0.5",NA,23.64496,90.49862,"kutubail, narayanganj futullah",1995,0,0,0,1
"nkksweater ltd",2607,"66000","Sweaters",395,"1",NA,23.69272,90.43422,"setu market (3rd floor), 16/1, new jurain dhaka postagola",1998,0,0,0,1
"nngarments ltd",259,"78288","Jackets, Jeans, Swimming Trunks",168,"0",NA,23.77388,90.36196,"30, ring road, adabor dhaka shamoli",1985,0,0,1,1
"nnsweater ltd",2671,"72000","Sweaters",400,"1",NA,23.82531,90.37248,"plot # 86, road # 5, block - a, section # 12 dhaka mirpur",1998,0,0,0,1
"nrkniting mills ltd",1904,"75000","T-shirts, Tank tops, Serafino",350,"1",NA,23.61783,90.50056,"60, banga bandhu road, narayanganj b.b. road",1994,0,0,0,1
"nassa apparels ltdu-2",2910,"x","Jackets, Ovrall, Vest",285,"0",NA,23.7635,90.40368,"123, north begun bari, tejgaon i/a dhaka tejgaon",1999,0,0,0,1
"national apparel coltd",156,"75000","Shirts, Blouses, Jackets",155,"0",NA,23.77466,90.36458,"13, ring road, dhaka shamoli",1984,0,0,1,1
"xz apparel exports ltd",285,"75000","Shirts, Ladies Dresses, Overalls",167,"0",NA,23.79155,90.34841,"2/a/a, first colony, mazar road dhaka mirpur",1985,0,0,1,1
"new generation fashions lld",2759,"80000","Shirts, Under Wears, Bottoms",160,"0",NA,23.69272,90.43422,"buriganga shetu market (2nd floor), 16/1, new jurain dhaka jurain",1998,0,0,0,1
"newslar fashions ltd",1434,"96000","Shirts",116,"0",NA,23.9999405,90.4202724,"plot # 98 (2nd floor), gazipur choydana",1993,0,0,0,1
"nice apparels indsltd",2273,"24000","Wind Breakers, Tousers, Jogging Suits",145,"0",NA,23.64609,90.5991,"chotto shilmondi, tripordi narayanganj sonargaon",1996,0,0,0,1
"nippon garments indsltd",129,"21100","Jackets, Pants, Jogging Suits",347,"0",NA,23.91449,90.39132,"auchpara, gazipur tongi",1984,0,0,1,1
"nipunpteltd",2146,"102000","jac,pa, patchwork,quilt",328,"0",NA,23.83143,90.41484,"217/1/a, beribadh, dhaka mohammadpur",1995,0,0,0,1
"noble industriesbdltd",2310,"100000","T-Shirts/Polo Shirts, Pyjama Sets",80,"1",NA,23.77536,90.36457,"mamtaz mension (1st floor), 15/2, mirpur road dhaka shamoli",1996,0,0,0,1
"noor enterprise",338,"200000","Shirts, Jackets, Jogging Suits",187,"0",NA,22.3913,91.81162,"nur enterprise (4th fl), 212, baizid bostami road chittagong nasirabad",1985,0,0,1,1
"novel hurricane knil gmts ltd",2922,"x","T-Shirts/Polo Shirts",50,"1",NA,24.1315156,90.403094,"bokran monipur (ground, 1st & 2nd floor), mirzapur gazipur gazipur sadar",1999,0,0,0,1
"o 8 a fashions ltd",2989,"30000","Jackets, Pants",100,"0",NA,22.33855,91.81358,"92/93, dt road, chittagong dewanhat",1999,0,0,0,1
"oba apparels limiled",2492,"30000","Jackets, Sportwears, Trousers",120,"0",NA,22.31485,91.80502,"1111, biswamber nag lane, goshail danga chittagong",1997,0,0,0,1
"ocean design bd ltd",3149,"144000","Fashion Wears, Overalls, Trousers",459,"0",NA,22.97742,90.83357,"zamgara, earpur union, dhaka savar",2000,0,0,0,1
"oishi fashions pv1ltd",3176,"x","sweaters",334,"1",NA,23.90104,90.40882,"shaheen complex 23, gazipura gazipur tongi",2000,0,0,0,1
"oli knitting fabrics ltdu-2",2283,"450000","Shirts,Jogging Suits, T-Shirts, Polo Shirts",213,"1",NA,23.9563608,90.2831353,"ganakbari, dhaka savar",1996,0,0,0,1
"onix appareis ltd ",1291,"50000","Shirts, Ladies Dresses, Shorts, Pants",110,"0.5",NA,23.77493,90.39897,"54, shaheed tajuddin ahmed sarani, rasulbagh dhaka mohakhali",1992,0,0,0,1
"oriental industrial coltd",1306,"90000","Sweaters",325,"1",NA,24.0106212,90.3226932,"bagia, konabari gazipur joydevpur",1992,0,0,0,1
"omate apparels ltd",2697,"45000","Rain Wears, Dresses Iniforms, Night Wears",175,"0",NA,23.76155,90.35491,"plot # 1-2, main road, section # 10 dhaka mirpur",1998,0,0,0,1
"ornate fashions ltd",3119,"200000","Bl,Dresses,Rompers",213,"0",NA,23.77705,90.41638,"na, dhaka",2000,0,0,0,1
"omate international ltd",2808,"x","x",185.238576627578,"0",NA,23.79333,90.27113,"asha plaza (4th floor), hemayetpur bus stand dhaka savar",1998,1,0,0,1
"omate knit garment industries ltd",834,"200000","Jakcets, Knit  Items",148,"1",NA,23.9102,90.3172,"bararangamtia, dawan idris road, zirabo dhaka savar",1991,0,0,1,1
"outright fashions ltdu-2",2939,"x","x",185.238576627578,"0",NA,23.78812,90.37366,"744, shewrapara, rokeya sharani dhaka mirpur",1999,1,0,0,1
"pacific knitting coltd",1699,"30000","Sweaters",170,"1",NA,23.82235,90.36542,"m/4/4, road # 7, section # 7 dhaka mirpur",1994,0,0,0,1
"packers garments indsltd",3140,"72000","bl,jo,Jeans",185.238576627578,"0",NA,23.79708,90.35718,"25/2, shah ali bag, section # 1 dhaka mirpur",2000,1,0,0,1
"palmal knitwear factory ltdunit-2",2535,"120000","Infant Wears, Knit Garments, Tak Tops",213,"0",NA,23.8654,90.39721,"f # 35, sector # 3, uttara model town dhaka uttara",1997,0,0,0,1
"pan-mark apparels pvlltd",1702,"72000","Polo Shirts, Trousers",140,"0.5",NA,22.39515,91.88245,"34/b, cda heavy i/a, chittagong kalurghat",1994,0,0,0,1
"parkescene bangladesh ltd",2430,"235000",NA,87,"1",NA,23.953676,90.3779667,"kunia, k.b. bazar, gazipur gazipur sadar",1997,0,0,0,1
"pegasi textile ltd",2412,"220000",NA,180,"0.5",NA,22.35685,91.78318,"plot # a-1, block - a, bscic i/e, bayazid bostami chittagong",1996,0,0,0,1
"perag sock indsltd",713,"120000",NA,50,"1",NA,23.75264,90.41395,"25/2, dit road, malibagh chowdhury para dhaka malibagh",1989,0,0,1,1
"pertect fashions ltd",3065,"50000",NA,100,"0",NA,23.77776,90.40574,"33, mohakhali c/a, dhaka mohakhali",1999,0,0,0,1
"pertect sharp apparel ltd",1479,"96000",NA,160,"0.5",NA,23.80692,90.3687,"139/b, senpara parabata, section # 10 dhaka mirpur-10",1993,0,0,0,1
"philadelphia apparets ltd",2093,"8500",NA,150,"0",NA,23.79053,90.38776,"28, north kafrul, dhaka cantonment",1995,0,0,0,1
"pole-star fashions ltd",3001,"x",NA,78,"0",NA,23.75216,90.43234,"322/1, north goran, dhaka khilgaon",1999,0,0,0,1
"polymer knitwear indsltd",2892,"60000",NA,160,"1",NA,23.9504063,90.380132,"plot # b446, 447, kamarjuri, national university gazipur board bazar",1999,0,0,0,1
"premier garments",3002,"x",NA,65,"0",NA,23.71162,90.42967,"79/8, uttar jatrabari (2nd floor), bibir bagicha, gate # 4 dhaka jatrabari",1999,0,0,0,1
"prince high desion ltd",2900,"100000",NA,130,"0",NA,23.77818,90.42603,"hakim tower (2nd & 3rd floor), e-6, middle badda, pragati sarani dhaka badda",1999,0,0,0,1
"priyam fashiom ltd",2539,"x",NA,80,"0.5",NA,22.35685,91.78318,"34/b, cda heavy i/a, chittagong",1997,0,0,0,1
"progati fashions wear ltd",1188,"54000",NA,456,"0",NA,23.7085,90.40496,"7, ashan ullah road (2nd fl), wise ghat dhaka old dhaka",1992,0,0,0,1
"progressive apparels indsltd",2549,"50000",NA,130,"0",NA,22.33616,91.81801,"838/840, dhanialapara, dhaka trunk road chittagong dhanialapara",1997,0,0,0,1
"preminent lextiles ltd ",2287,"260000",NA,95,"1",NA,23.76651,90.35384,"30, prominent housing, 3, pisciculture road dhaka mohammadpur",1996,0,0,0,1
"pro-star industrial coltd",754,"2100000",NA,938,"0.5",NA,23.80891,90.35759,"plot # 74, block - k, rupnagar i/a, section # 2 dhaka mirpur",1990,0,0,1,1
"prestar knit hats and gloves mfgltd",1486,"482000",NA,515,"0.5",NA,23.80891,90.35759,"plot # 74, block - k, rupnagar i/a, section # 2 dhaka mirpur",1993,0,0,0,1
"prottasha dyeing and printing ind pvt ltd",1712,"480000",NA,110,"1",NA,23.89287,90.41311,"plot # a 94-95 (part), bscic inds. estate gazipur konabari",1994,0,0,0,1
"radyeing and printing inds pvt ltd",1910,"65000",NA,240,"1",NA,23.64695,90.51075,"enayet nagar, narayanganj fatullah",1994,0,0,0,1
"rbgarments ltd",2599,"x",NA,185.238576627578,"0",NA,23.75097,90.41409,"475, malibagh bazar road, dhaka malibagh",1998,1,0,0,1
"r bindustries ltd",3209,"x","sh,jac,tr",176,"0",NA,22.40401,91.82452,"kulgaon, jalalabad chittagong baizid bostami",2000,0,0,0,1
"rgrsweater ltd",2488,"80000",NA,500,"1",NA,24.1785198,90.4372747,"madhakhala, gazipur sreepur",1997,0,0,0,1
"r jgarments",2574,"x",NA,45,"0",NA,23.80615,90.36811,"plot # 11/1, block - kha, road # 1, section # 6, senpara parbata dhaka mirpur",1997,0,0,0,1
"rmsweaters pvlltd",2881,"48000",NA,325,"1",NA,23.75879,90.42246,"385/1, east rampura (ground & 1st floor), tv avenue dhaka rampura",1999,0,0,0,1
"rnsweaters ltd",2941,"x",NA,159,"1",NA,23.77388,90.36196,"30, ring road, adabor dhaka shamoli",1999,0,0,0,1
"rrsweaters ltd",2490,"60000",NA,300,"1",NA,23.80437,90.37006,"205, senpara parbata, begum rokeya sarani dhaka mirpur",1997,0,0,0,1
"rsfabrics and designers",2955,"13000",NA,145,"0",NA,22.29703,91.78373,"hossain complex, 1956/a, south halishahar chittagong",1999,0,0,0,1
"radial international ltdunit-2",3036,"x",NA,168,"1",NA,23.9937669,90.2551098,"ziranibazar, gazipur kashimpur",1999,0,0,0,1
"radix plus ltd",2675,"x",NA,60,"0",NA,23.9845353,90.3219053,"kashimpur, gazipur",1998,0,0,0,1
